M-id,Location,Area,Landmark
1,"Agra, UP",17,Yamuna_River
2,"UP, India",9,Jama_Masjid
3,"Puri, Odisha",11,Chandrabagha_Beach
4,"Khajuraho, MP",20,Panna National Park
5,"Hampi, KA",42,Tunghabhadra River
6,Delhi,9,Gura Dwara Dam Sahib
7,Delhi,3,Hauz Khaas Village
8,Delhi,10,Jama Masjid
9,"Jaipur, Rajasthan",2,Parliament House
10,"Patan, Gujarat",3,Patan Patola Heritage Museum
11,"Goa, India",1,St. Philoemena's Cathedral
12,"Agra, UP",1,Warangal Fort
13,"Jaipur, Rajasthan",47,Ciry Mahal
14,"Bodh gaya, Bihar",5,Bodhi Tree
15,"Sanchi, MP",30,Sanchi Museum
16,Mysuru,1,Sri Chamundeshwari Temple
17,"Bijapur,Karnataka",0,Ibrahim Roja
18,"Thanjavur,TN",7,Saraswati Mahal Library
19,"Ellora,Mahahrashtra",8,Biba Ka Maqbara
20,"Bagalkot,Karnataka",2,Jain Temple
21,"Raisen,MP",1,Rock Caves
22,"Rajasthan,India",4,Chittorgarh Fort
23,"Amritsar,Punjab",2,Namdroling Monastery
24,Delhi,11,Delhi skyline
25,"Kolkata, Westbengal",26,white marble monument
26,"Jaipur , Rajasthan",4,Diwan-i-Aam
27,"Sanchi, Madhya Pradesh",38,toranas
28,"Jodhpur, Rajasthan",5,Moti Mahal
29,"Thanjavur, Tamil Nadu",28, Nandi statue 
30,Uttar Pradesh,6,Vindhyan hill ranges
31,"Madurai, Tamil Nadu",3,Madurai
32,"Varanasi, Uttar Pradesh",20,Sarnath
33,"Chittorgarh, Rajasthan",41,Mewar
34,Delhi,5,Old City
35,"Mumbai, Maharashtra",33,Apollo bunder
36,"Ajmer, Rajasthan",12,Ajmer
37,"Halebidu, Karnataka",2,Chennakesava temple
38,"Belur, Karnataka",2,Hoysaleshwara temple
39,"Gwalior, Madhya Pradesh",3,"Man Mandir Palace, Teli Ka Mandir, Gujari Mahal"
40,"Mahabalipuram, Tamil Nadu",12,"Shore temple, Pancha Rathas, Descent of the ganges"
41,"Kevadia, Gujarat",5,"Narmada district, Sardar sarvor dam"
42,New Delhi,0,Rajpath
43,"Vadodara, Gujarat",2,Vadodara 
44,Delhi,0,Noida mor
45,Bihar,2,"Dhanawa, Nalanda"
46,"Murud, Maharshtra",0,South Konkan coastline
47,"Hyderabad, Telangana",11,Hyderabad
48,Goa,5,"Bainguinim, Old Goa"
49,"Kanyakumari, Tamil Nadu",4,Kanniyakumari Sunrise View
50,"Amritsar, Punjab",6," Golden Temple Rd, Amritsar"
51,Gujarat,5,Kalika Mata Temple
52,"Pune, Maharashtra",4,"Nagar Road, Samrat Ashok Rd"
53,"Chitradurga,Karnataka",6,Chandravalli archaeological site
54,"Shravanabelagola, Karnataka",7,Chandragiri Hill
55,"Mumbai, Maharashtra",1,Gateway of India
56,"Jungadh ,Gujarat",1,Uparkot Fort
57,"Pune, Maharashtra",6,Thorale Madhavrao Peshwa Smarak
58," Mahabalipuram, Tamil Nadu",0,Bay of Bengal
59,"Hyderabad, Telangana",4,Charminar
60," New Delhi, Delhi",2,Safdarjung Airport